,Sale,SalesAmountInEuro,time_delay_for_conversion,click_timestamp,nb_clicks_1week,product_price,product_age_group,device_type,audience_id,product_gender,product_brand,prod_category1,prod_category2,prod_category3,prod_category4,prod_category5,prod_category6,prod_category7,product_country,product_id,product_title,partner_id,user_id
92618,0,-1.0,-1,1597125030,408,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,7F286560861764CCB93C90B7AA833949,94AD28800A063F2E676E76DEA24E5FB9,54802B62C0D7070CE79B8B0199AF80CE,A7F889FDD33BA78DE493F733AB79BC7E,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,85FCE431C4623A243A6E486770BD2E41,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,EADA3D42147183C3FABE14B0644BDADC
93968,0,-1.0,-1,1597086710,9,0.0,4C90FD52FC53D2C1C205844CB69575AB,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,94DB9D99AE2CD0948D35082983F584D2,7EFD55698FF83B096D0765C63DA3D04D BF6EF7EE17AED02AF298649A4A3CD9D5,04A66CE7327C6E21493DA6F3B9AACC75,DF063AECFBB535B58330CD008C91598F
106399,0,-1.0,-1,1600143453,3,0.0,4C90FD52FC53D2C1C205844CB69575AB,D7D1FB49049702BF6338894757E0D959,0CA57F1004DEC324C46257E113702157,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,E2911D769D3A185D1D79991E006F16FF,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,373DBE042286C32736CE214D60B6D899
108438,0,-1.0,-1,1600082654,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,574C9944ADF577E1E63F6107E8B782D8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04A66CE7327C6E21493DA6F3B9AACC75,1116C73D013BD4DD0708E08DD516F2B9
122475,0,-1.0,-1,1596869686,5,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,7F286560861764CCB93C90B7AA833949,94AD28800A063F2E676E76DEA24E5FB9,54802B62C0D7070CE79B8B0199AF80CE,A7F889FDD33BA78DE493F733AB79BC7E,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,66252ED46098BA0B0D8967FD760374E3,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D 216CCCBF3716D96B60C911A4B1AE2372,04A66CE7327C6E21493DA6F3B9AACC75,1628AA0B9B16AF9ADDF92BB2A9066EB3
123614,0,-1.0,-1,1596868616,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,574C9944ADF577E1E63F6107E8B782D8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04A66CE7327C6E21493DA6F3B9AACC75,4948FF666CE64DA0D51AB59D4BEF7510
124720,0,-1.0,-1,1596858072,6,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,7F286560861764CCB93C90B7AA833949,94AD28800A063F2E676E76DEA24E5FB9,54802B62C0D7070CE79B8B0199AF80CE,A7F889FDD33BA78DE493F733AB79BC7E,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,D5CEBA435C497EB23B9764FC387FE5F4,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,47415A44A7B5971FE635530AC32D72C3
145938,0,-1.0,-1,1601860521,70,0.0,4C90FD52FC53D2C1C205844CB69575AB,D7D1FB49049702BF6338894757E0D959,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,07AC4B7009D299CF290A1134D75BF5FD,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,B6DABD2D1F0EA78638586D4262DB9EC4
149101,0,-1.0,-1,1600449434,68,0.0,4C90FD52FC53D2C1C205844CB69575AB,D7D1FB49049702BF6338894757E0D959,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,8C8EF17FB186278BF21A737A78D5D3A8,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,C6C907D32F7EF66E1D065AE17FA91EB3
149802,0,-1.0,-1,1600490507,68,0.0,4C90FD52FC53D2C1C205844CB69575AB,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,8C8EF17FB186278BF21A737A78D5D3A8,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,37E76D6211ABFDE2AE105C777938000E
149825,0,-1.0,-1,1600416385,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,574C9944ADF577E1E63F6107E8B782D8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04A66CE7327C6E21493DA6F3B9AACC75,EE50F9BF2B12A7EF4202C55E089089E0
168707,0,-1.0,-1,1603509304,57,0.0,4C90FD52FC53D2C1C205844CB69575AB,D7D1FB49049702BF6338894757E0D959,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,FA1E4BE87F7803697FD738492E055C8D,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,010C1671C8C66E4ECA1F1C9478B7E1AE
169534,0,-1.0,-1,1603447600,1,0.0,4C90FD52FC53D2C1C205844CB69575AB,7E56C27BFF0305E788DA55A029EC4988,D3EB306C05AF45026C9ADD0041B8B815,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,5DA9311643D86C9F856AEEE3F2221E40,B507B4F4986414C555BD09306D87627A 755C4B0FDF422F4C3EF6495BB5670D98,04A66CE7327C6E21493DA6F3B9AACC75,45C7B377AA5009C2D70FD90F21089894
181015,0,-1.0,-1,1603856744,52,0.0,4C90FD52FC53D2C1C205844CB69575AB,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,07AC4B7009D299CF290A1134D75BF5FD,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,C41D0A7BF55BED8215FD48903106913A
183680,0,-1.0,-1,1603863158,10,0.0,4C90FD52FC53D2C1C205844CB69575AB,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,E0E090F7BFB5E81F7625B9C04DB94115,3C5B8FE520F94FE7B648FDF985B7901D DC37B6AE884D66F9C1FA1D78C2491D4B,04A66CE7327C6E21493DA6F3B9AACC75,699A1513464B9160E90A870A983D0944
184839,0,-1.0,-1,1603800182,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04A66CE7327C6E21493DA6F3B9AACC75,57E31E63D71F419CE48FDC09464A913F
188541,0,-1.0,-1,1596802468,77,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,7F286560861764CCB93C90B7AA833949,94AD28800A063F2E676E76DEA24E5FB9,54802B62C0D7070CE79B8B0199AF80CE,A7F889FDD33BA78DE493F733AB79BC7E,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,07AC4B7009D299CF290A1134D75BF5FD,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,899BDF3CC6C06670EF87932AD380B4C6
203100,0,-1.0,-1,1603106212,169,0.0,4C90FD52FC53D2C1C205844CB69575AB,D7D1FB49049702BF6338894757E0D959,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,122FC138419F23A264643CCFE33DB019,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,6D1A06BB17446A9EFC7AA4501CB53A0C
205769,0,-1.0,-1,1603099531,3,0.0,4C90FD52FC53D2C1C205844CB69575AB,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,392FF9E2DFC8742BFFB447BD853ED496,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D 2EC2D51A92CBAA00FF83332AB0FBAEA4,04A66CE7327C6E21493DA6F3B9AACC75,A403E7670361BB9FCB0CDAEEB80D18F5
235727,0,-1.0,-1,1597724545,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,574C9944ADF577E1E63F6107E8B782D8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04A66CE7327C6E21493DA6F3B9AACC75,FC51E847F8F2BDF4D0E5965E255E7393
238918,0,-1.0,-1,1597713578,47,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,7F286560861764CCB93C90B7AA833949,94AD28800A063F2E676E76DEA24E5FB9,54802B62C0D7070CE79B8B0199AF80CE,A7F889FDD33BA78DE493F733AB79BC7E,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,C8102F3872C61EDD11A7818EE9EA7166,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,9A9155E800ACAFD3FE0C7DFABFCE5DCE
246525,0,-1.0,-1,1601888971,49,0.0,4C90FD52FC53D2C1C205844CB69575AB,D7D1FB49049702BF6338894757E0D959,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,77FFC91A6157E50A0A114135F18BB1DB,E3BFE676F67C7130467E0F31A391C97E,10C7B58D632536C995F0B2732ADEF7C7,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,B07D3E21AE7D752FB6DCC79AE6973947,C28782473FACE27CBDA310475C13BACD 1417130F6884B0F4C270B0E366E0A1EB 3E1CEC35B9733AF6B84A41D21B920466 216CCCBF3716D96B60C911A4B1AE2372,04A66CE7327C6E21493DA6F3B9AACC75,A8C62FD7B3334ACAFD2F6CD380029012
253101,0,-1.0,-1,1601950737,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,A48346ABF470721370B9861379483677,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04A66CE7327C6E21493DA6F3B9AACC75,CE84A71BB075DF715C1B44F3FFCFB3D4
253458,0,-1.0,-1,1601938254,70,0.0,4C90FD52FC53D2C1C205844CB69575AB,D7D1FB49049702BF6338894757E0D959,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,8C8EF17FB186278BF21A737A78D5D3A8,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,C7AD8CF275D54AB68A7A9BAF53BC6241
253590,0,-1.0,-1,1601920459,114,0.0,4C90FD52FC53D2C1C205844CB69575AB,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,07AC4B7009D299CF290A1134D75BF5FD,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,6238916B65CF56FDC572BE9D8D5C00D1
263787,0,-1.0,-1,1603264818,0,0.0,4C90FD52FC53D2C1C205844CB69575AB,D7D1FB49049702BF6338894757E0D959,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,2223844347C434805C5D670298B894D6,7EFD55698FF83B096D0765C63DA3D04D BF6EF7EE17AED02AF298649A4A3CD9D5,04A66CE7327C6E21493DA6F3B9AACC75,7F558B36863C13C703DD9DDFDD9423D7
268725,0,-1.0,-1,1600939702,91,0.0,4C90FD52FC53D2C1C205844CB69575AB,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,07AC4B7009D299CF290A1134D75BF5FD,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,BE43C5B0F92D02817F32F169F7AD5D4E
271653,0,-1.0,-1,1600996331,256,0.0,4C90FD52FC53D2C1C205844CB69575AB,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,122FC138419F23A264643CCFE33DB019,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,148B9D8D6801D33E8717A1E627D14CB2
272506,0,-1.0,-1,1600934053,1,0.0,4C90FD52FC53D2C1C205844CB69575AB,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,74DE600331FDE2FDC29618ABC99744E1,3C5B8FE520F94FE7B648FDF985B7901D DC37B6AE884D66F9C1FA1D78C2491D4B 2EC2D51A92CBAA00FF83332AB0FBAEA4,04A66CE7327C6E21493DA6F3B9AACC75,0730B81E19D856FA9B5E94D8B9D34B73
274104,0,-1.0,-1,1600950652,256,0.0,4C90FD52FC53D2C1C205844CB69575AB,7E56C27BFF0305E788DA55A029EC4988,0CA57F1004DEC324C46257E113702157,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,122FC138419F23A264643CCFE33DB019,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,3836D33AC0025BFEE098C151B6852ED3
301223,0,-1.0,-1,1599898968,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,574C9944ADF577E1E63F6107E8B782D8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04A66CE7327C6E21493DA6F3B9AACC75,0B0EA01C7CB73809524B64313C36065D
302663,0,-1.0,-1,1601359908,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,574C9944ADF577E1E63F6107E8B782D8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04A66CE7327C6E21493DA6F3B9AACC75,A212DAB1B018AC25703B0AF638F938E7
303399,0,-1.0,-1,1601284146,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,574C9944ADF577E1E63F6107E8B782D8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04A66CE7327C6E21493DA6F3B9AACC75,4219261B27C005F134AAABEB7C5F407E
304045,0,-1.0,-1,1601281028,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,574C9944ADF577E1E63F6107E8B782D8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04A66CE7327C6E21493DA6F3B9AACC75,028CEAB444EDF836714D67DF1587736C
305227,0,-1.0,-1,1601302921,70,0.0,4C90FD52FC53D2C1C205844CB69575AB,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,8C8EF17FB186278BF21A737A78D5D3A8,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,64754407BDBCFD3AFA2AD52A12CA626B
306306,0,-1.0,-1,1601357490,1,0.0,-1,D7D1FB49049702BF6338894757E0D959,0CA57F1004DEC324C46257E113702157,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,DDC2B3CC38945E431DE1B3F59EC56680,CF4A5D03BB5736C3AA71BE8DBDB2708F,06B2CF78AEF4B991D8F2CCBE566779CC,A8D526C85911BC4D8B01E985526B136A,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,CCC0C7BEE57CA5AD8F3564DD525B499A,3A708147FBB0643150B19E162C286361 611A2186538252CD40681BFEAF632ED9,04A66CE7327C6E21493DA6F3B9AACC75,7C16835BBBA3C07EA4BCEFDB06BF9557
317114,0,-1.0,-1,1597297721,211,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,7F286560861764CCB93C90B7AA833949,94AD28800A063F2E676E76DEA24E5FB9,54802B62C0D7070CE79B8B0199AF80CE,A7F889FDD33BA78DE493F733AB79BC7E,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,8C8EF17FB186278BF21A737A78D5D3A8,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,7F156EA2C0C9C6A8A64CD430C089C694
317868,0,-1.0,-1,1597298602,4,0.0,4C90FD52FC53D2C1C205844CB69575AB,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,15463B818DEC6C1D9BB0BCE7CA1EAC1E,3C5B8FE520F94FE7B648FDF985B7901D DC37B6AE884D66F9C1FA1D78C2491D4B 35A837ED63F3C1176F1B22920AB7BEE1,04A66CE7327C6E21493DA6F3B9AACC75,36D5C2CAF51463271FE72AF334147567
